id,default_code,name_en,category,current_routes,proposed_action,proposed_route_change,final_route_set_recommended,reason
8150,RM-HTF-TH-00001,ฉลาก HTF PS ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8149,RM-HTF-TH-00002,ฉลาก HTF PS ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8141,RM-HTF-TH-01001,ฉลาก HTF PePex ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8140,RM-HTF-TH-02001,ฉลาก HTF PePex2IN1พวงกุญแจ ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8139,RM-HTF-TH-02002,ฉลาก HTF PePex2IN1พวงกุญแจ ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8143,RM-HTF-TH-03001,ฉลาก HTF PSKey ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8142,RM-HTF-TH-03002,ฉลาก HTF PSKey ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8151,RM-HTF-TH-04001,ฉลาก HTF พิมเสนสำลี,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8138,RM-HTF-TW-00001,ฉลาก HTF MarkII ไต้หวัน ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8133,RM-HTF-TW-00002,ฉลาก HTF MarkII ไต้หวัน ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8129,RM-HTF-XX-00001,ฉลาก HTF MarkII 3สูตร ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8130,RM-HTF-XX-00002,ฉลาก HTF MarkII 3สูตร ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8154,RM-HTF-XX-02001,ฉลาก HTF Pax-key ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8153,RM-HTF-XX-02002,ฉลาก HTF Pax-key ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8197,RM-PET-RO-00001,PETแบบม้วน  380x0.25mm  สีใส,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
